id_cliente,score_A,score_B,p_app,tier_rule,inadimplente
1000732585882,0.0,0.4511053,0.22555265,APPLICATION,0
1001250740869,0.0,0.86006904,0.5699655,MANUAL_REVIEW,0
1002669165825,0.0,0.44174683,0.7791266,APPLICATION,0
1003899664289,0.5616438356164384,0.39370072,0.19685036,BEHAVIORAL,0
1005577842775,0.0,0.92836255,0.46418127,MANUAL_REVIEW,0
1005928805955,0.0,0.77581215,0.38790607,MANUAL_REVIEW,0
1006479800959,0.5633802816901409,0.8545566,0.4272783,BEHAVIORAL,0
1008295105717,0.0,0.63333035,0.6833348,MANUAL_REVIEW,0
1010025345946,0.8461538461538461,0.9514358,0.4757179,BEHAVIORAL,0
1012149504553,0.7142857142857143,0.6604642,0.3302321,BEHAVIORAL,0
1015964364540,0.0,0.4641621,0.23208104,APPLICATION,0
1016374092653,0.0,0.6269865,0.68650675,MANUAL_REVIEW,0
1021300971235,0.0,0.33373404,0.16686702,APPLICATION,0
1021961876022,0.0,0.50685585,0.7465721,APPLICATION,1
1028008990269,0.0,0.9430126,0.5284937,MANUAL_REVIEW,0
1034256251853,0.0,0.96133816,0.48066908,MANUAL_REVIEW,0
1039911314960,0.0,0.9731618,0.4865809,MANUAL_REVIEW,0
1039919484244,0.0,0.361319,0.1806595,APPLICATION,0
1041056461533,0.5167910447761194,0.49555254,0.24777626,BEHAVIORAL,0
1041216405422,0.0,0.31177253,0.15588626,APPLICATION,0
1041363501491,0.6046511627906976,0.9099332,0.5450334,BEHAVIORAL,0
1042036595238,0.0,0.65843177,0.32921588,MANUAL_REVIEW,0
1042522836616,0.0,0.99258775,0.49629387,MANUAL_REVIEW,0
1043346100156,0.0,0.58104587,0.70947707,APPLICATION,1
1044998526583,0.5737704918032787,0.39970195,0.19985096,BEHAVIORAL,0
1048119105653,0.0,0.35812736,0.17906368,APPLICATION,0
1050676688813,0.6956521739130435,0.69741964,0.6512902,BEHAVIORAL,0
1052233516098,0.0,0.8943141,0.44715706,MANUAL_REVIEW,0
1054276094993,0.5279503105590062,0.4215467,0.21077335,BEHAVIORAL,0
1056080434281,0.0,0.9825481,0.50872594,MANUAL_REVIEW,0
1056178969568,0.0,0.5586316,0.2793158,APPLICATION,0
1056232908537,0.0,0.14711893,0.07355946,APPLICATION,0
1056378056509,0.0,0.7931773,0.39658865,MANUAL_REVIEW,1
1056396665037,0.6046511627906976,0.5938742,0.7030629,BEHAVIORAL,0
1057643365946,0.5076400679117148,0.33171707,0.16585854,BEHAVIORAL,0
1059621246241,0.0,0.3261758,0.16308789,APPLICATION,0
1060642544658,0.59,0.48005652,0.75997174,BEHAVIORAL,0
1064482379379,0.0,0.6378355,0.68108225,MANUAL_REVIEW,1
1065498419308,0.0,0.89802897,0.5509855,MANUAL_REVIEW,1
1067097509546,0.0,0.210899,0.8945505,APPLICATION,0
1068828679966,0.0,0.49218613,0.24609306,APPLICATION,0
1071316921858,0.5195652173913043,0.31454813,0.15727408,BEHAVIORAL,0
1071644142607,0.0,0.4618368,0.7690816,APPLICATION,1
1074165991492,0.0,0.5718537,0.28592685,APPLICATION,0
1074526913481,0.6323529411764706,0.52555126,0.26277563,BEHAVIORAL,0
1077676893331,0.0,0.82321763,0.41160882,MANUAL_REVIEW,0
1086065967168,0.0,0.82656676,0.41328338,MANUAL_REVIEW,1
1087946321690,0.0,0.8443339,0.57783306,MANUAL_REVIEW,0
1090271015747,0.0,0.3652146,0.8173927,APPLICATION,1
1096591147761,0.0,0.7983682,0.3991841,MANUAL_REVIEW,0
1100786083277,0.0,0.29795718,0.8510214,APPLICATION,1
1105423454701,0.0,0.25849783,0.12924892,APPLICATION,1
1107735056057,0.0,0.7002249,0.64988756,MANUAL_REVIEW,0
1109042886032,0.0,0.66297066,0.33148533,MANUAL_REVIEW,0
1111265470873,1.0,0.35842526,0.17921263,BEHAVIORAL,0
1115672906251,0.0,0.7006062,0.3503031,MANUAL_REVIEW,0
1118196294948,0.5126404494382022,0.5912356,0.2956178,BEHAVIORAL,0
1121373046582,0.725,0.69029915,0.6548504,BEHAVIORAL,1
1126932041966,1.0,0.89480317,0.44740158,BEHAVIORAL,0
1129956569547,0.0,0.36350024,0.1817501,APPLICATION,1
1134563071032,0.0,0.4082409,0.79587954,APPLICATION,1
1138318835508,0.0,0.58124995,0.709375,APPLICATION,1
1138369745609,0.0,0.292288,0.146144,APPLICATION,0
1138846279709,0.0,0.6080309,0.69598454,MANUAL_REVIEW,1
1141184311097,0.0,0.52392846,0.26196423,APPLICATION,0
1141741776203,0.0,0.7689357,0.61553216,MANUAL_REVIEW,0
1149346157706,0.0,0.82853574,0.41426787,MANUAL_REVIEW,0
1149559588905,0.875,0.6443845,0.67780775,BEHAVIORAL,1
1150151280580,0.0,0.49495006,0.24747501,APPLICATION,0
1150539871269,0.0,0.89182043,0.5540898,MANUAL_REVIEW,1
1150634177795,0.0,0.8028163,0.59859186,MANUAL_REVIEW,0
1152312452603,0.0,0.19587064,0.09793533,APPLICATION,0
1153772494515,0.0,0.7745452,0.3872726,MANUAL_REVIEW,0
1155464087549,0.0,0.8424064,0.5787968,MANUAL_REVIEW,0
1161125403914,0.0,0.1838243,0.09191216,APPLICATION,0
1167724824598,0.0,0.1824354,0.9087823,APPLICATION,1
1175158982386,0.0,0.23693573,0.88153213,APPLICATION,1
1176179503936,0.0,0.6945313,0.34726566,MANUAL_REVIEW,0
1176757691994,0.0,0.63728,0.68136,MANUAL_REVIEW,0
1176822232221,0.0,0.8270639,0.41353196,MANUAL_REVIEW,0
1178815962838,0.0,0.91753465,0.45876732,MANUAL_REVIEW,0
1179395663311,0.0,0.46571195,0.767144,APPLICATION,0
1180599068038,0.0,0.6227741,0.68861294,MANUAL_REVIEW,0
1180827397085,0.0,0.8155527,0.40777636,MANUAL_REVIEW,0
1188740301826,0.538135593220339,0.55249625,0.27624813,BEHAVIORAL,0
1189299400339,0.0,0.46620333,0.23310168,APPLICATION,0
1190030058298,0.6216216216216216,0.8365234,0.5817383,BEHAVIORAL,0
1192381357102,0.0,0.86636984,0.5668151,MANUAL_REVIEW,1
1195292632845,0.0,0.49390042,0.7530498,APPLICATION,1
1195992412028,0.0,0.9707371,0.51463145,MANUAL_REVIEW,1
1198360055950,0.0,0.7519145,0.37595725,MANUAL_REVIEW,1
1198666809130,0.0,0.9518048,0.4759024,MANUAL_REVIEW,1
1198669438846,0.0,0.70167434,0.6491628,MANUAL_REVIEW,1
1198698031397,0.0,0.15138483,0.9243076,APPLICATION,1
1204933498025,0.6875,0.7651367,0.61743164,BEHAVIORAL,1
1207136840602,0.0,0.32122803,0.160614,APPLICATION,0
1212638756996,0.0,0.8267704,0.4133852,MANUAL_REVIEW,0
1218791540698,0.0,0.7807531,0.39037654,MANUAL_REVIEW,0
1221781461310,0.0,0.49095625,0.24547812,APPLICATION,0
1221973119690,0.0,0.8990576,0.5504712,MANUAL_REVIEW,0
1224178225480,0.0,0.5046025,0.25230125,APPLICATION,0
1224372898868,0.0,0.49218613,0.24609306,APPLICATION,0
1226047463366,0.0,0.9037929,0.45189646,MANUAL_REVIEW,0
1228115362160,0.65,0.5299243,0.73503786,BEHAVIORAL,0
1229317836500,0.0,0.53919214,0.26959607,APPLICATION,0
1234858644426,0.5114795918367346,0.9712051,0.51439744,BEHAVIORAL,0
1238542708970,0.0,0.32722032,0.16361016,APPLICATION,0
1243078175608,0.0,0.43048513,0.21524255,APPLICATION,0
1244109445845,0.0,0.35116696,0.1755835,APPLICATION,0
1247471210968,0.5292207792207793,0.7422432,0.6288784,BEHAVIORAL,0
1247542358971,0.0,0.963807,0.5180965,MANUAL_REVIEW,0
1249387761796,0.0,0.91473925,0.45736963,MANUAL_REVIEW,0
1249563105775,0.0,0.9917568,0.4958784,MANUAL_REVIEW,1
1254984200587,0.0,0.5949147,0.70254266,APPLICATION,1
1256713350101,0.5146103896103896,0.9063624,0.5468188,BEHAVIORAL,0
1261792560389,0.0,0.8464807,0.57675964,MANUAL_REVIEW,0
1262965214223,0.0,0.9601243,0.48006216,MANUAL_REVIEW,0
1264419573003,0.0,0.18448734,0.09224368,APPLICATION,0
1267319844605,1.0,0.5965073,0.29825366,BEHAVIORAL,1
1268541245033,0.0,0.78300035,0.6084998,MANUAL_REVIEW,0
1269587952807,0.0,0.36738873,0.18369435,APPLICATION,0
1271550138352,0.0,0.34303617,0.8284819,APPLICATION,1
1271800812090,0.0,0.42421103,0.2121055,APPLICATION,0
1273622763947,0.0,0.71529984,0.6423501,MANUAL_REVIEW,1
1273692834383,0.0,0.39370072,0.19685036,APPLICATION,0
1274404647504,0.5222772277227723,0.7991709,0.39958546,BEHAVIORAL,1
1276164142001,0.0,0.45030832,0.22515416,APPLICATION,1
1276172787684,0.0,0.79954255,0.6002287,MANUAL_REVIEW,0
1284745192842,0.95,0.6988975,0.65055126,BEHAVIORAL,1
1285635582155,0.0,0.5923083,0.70384586,APPLICATION,1
1289546063690,0.0,0.6835066,0.6582467,MANUAL_REVIEW,1
1294730040395,0.0,0.38900453,0.19450226,APPLICATION,0
1294875426839,0.0,0.9038937,0.45194685,MANUAL_REVIEW,0
1295373204171,1.0,0.49668276,0.7516586,BEHAVIORAL,0
1300080929922,0.0,0.9780432,0.5109784,MANUAL_REVIEW,1
1301955505814,0.6,0.53600395,0.731998,BEHAVIORAL,0
1302060852574,0.0,0.9052514,0.4526257,MANUAL_REVIEW,0
1306525577594,0.0,0.48163158,0.24081579,APPLICATION,0
1306806672463,0.0,0.58899796,0.705501,APPLICATION,1
1308268535750,0.0,0.38439202,0.19219601,APPLICATION,0
1309291751452,0.0,0.49368727,0.24684365,APPLICATION,0
1313766237631,0.5131578947368421,0.40989637,0.20494819,BEHAVIORAL,0
1314323457901,0.0,0.67237496,0.33618748,MANUAL_REVIEW,0
1318860962013,0.0,0.84162706,0.42081353,MANUAL_REVIEW,0
1319602569057,0.0,0.36585617,0.8170719,APPLICATION,1
1321153598484,0.0,0.92163634,0.5391818,MANUAL_REVIEW,1
1324128327936,0.0,0.8462831,0.57685846,MANUAL_REVIEW,0
1324639457770,0.0,0.6272749,0.68636256,MANUAL_REVIEW,1
1327195972317,0.0,0.87031233,0.56484383,MANUAL_REVIEW,1
1327587380443,0.0,0.9463501,0.47317505,MANUAL_REVIEW,0
1329495922240,0.5235602094240838,0.6611589,0.66942054,BEHAVIORAL,0
1330192184562,0.0,0.93844604,0.46922302,MANUAL_REVIEW,0
1331460853890,0.5147540983606558,0.6794445,0.33972225,BEHAVIORAL,0
1331520749499,0.0,0.1238597,0.06192984,APPLICATION,0
1332233764986,0.0,0.7873904,0.3936952,MANUAL_REVIEW,0
1336000085269,0.0,0.23362607,0.11681303,APPLICATION,0
1342484213131,0.0,0.91528594,0.542357,MANUAL_REVIEW,1
1348532261009,0.7142857142857143,0.5502144,0.7248928,BEHAVIORAL,0
1349430829806,0.0,0.39395106,0.19697553,APPLICATION,0
1352965717941,0.0,0.3342712,0.1671356,APPLICATION,0
1353805484844,0.0,0.92830884,0.46415442,MANUAL_REVIEW,0
1356229432458,0.0,0.5377741,0.26888704,APPLICATION,0
1360179069124,0.0,0.8243727,0.41218635,MANUAL_REVIEW,0
1360531302754,0.0,0.93691313,0.53154343,MANUAL_REVIEW,0
1362325570487,0.0,0.74082935,0.6295853,MANUAL_REVIEW,1
1366023753095,0.5354330708661418,0.91441774,0.5427911,BEHAVIORAL,1
1369987224325,0.0,0.8307253,0.58463734,MANUAL_REVIEW,0
