id_cliente,uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente
6914392702762,CE,FORTALEZA,Segmento 3,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(8000, 10000]","(450, 600]",0.0,0.0,,1.0,,,,,,1.0
6916528377679,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(5000, 8000]","(900, 1150]",0.0,0.0,,0.0,,,,,,0.0
6917682759064,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(15000, 20000]","(25, 50]",0.0,0.0,,1.0,,,,,,0.0
6918743871526,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(150, 250]",0.0,0.0,,0.0,,,,"(50, 100]",1.0,0.0
6919065568413,CE,FORTALEZA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,39.87-6-23,"(1500, 2000]","(350, 450]",4.0,0.0,"Alimentos e Bebidas, Financeiro, Alimentos e Bebidas",1.0,,,,,,1.0
6930137243353,CE,FORTALEZA,Segmento 2,213-5 - Empresário (Individual),Fonte 2,53.23-6-84,"(20000, 30000]","(3000, 4000]",0.0,0.0,,1.0,,$,,,,0.0
6932946452033,CE,FORTALEZA,Segmento 10,213-5 - Empresário (Individual),Fonte 1,77.36-5-94,"(8000, 10000]","(3000, 4000]",0.0,0.0,,1.0,,,,,,0.0
6933858397471,CE,PACAJUS,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 1,39.87-6-23,"(15000, 20000]","(8000, 25000]",2.0,0.0,Telecomunicações,0.0,,,,,,0.0
6934238446155,CE,FORTALEZA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.35-1-24,"(200000, 1000000]","(5000, 8000]",0.0,0.0,,0.0,,,,"(1000, 2500]",1.0,0.0
6935265616943,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 2,53.23-6-77,"(20000, 30000]","(2000, 2400]",1.0,0.0,Bancos e Financeiro,1.0,,$,,,,0.0
6938624561356,CE,PINDORETAMA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(20000, 30000]","(8000, 25000]",1.0,0.0,Diversos,0.0,,,,,,0.0
6940370883889,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 5,77.89-6-20,"(200, 1000]","(3000, 4000]",0.0,0.0,,1.0,,,,,,1.0
6941271505695,CE,MARANGUAPE,Segmento 19,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(5000, 8000]","(450, 600]",1.0,0.0,Alimentos e Bebidas,1.0,,,,,,1.0
6945858835813,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(15000, 20000]","(3000, 4000]",0.0,0.0,,0.0,,,,,,1.0
6948094585864,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.77-2-48,"(200, 1000]","(250, 350]",0.0,0.0,,1.0,,,,,,1.0
6956039742451,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(2400, 3000]",0.0,0.0,,1.0,,,,,,0.0
6956805511586,CE,FORTALEZA,Segmento 19,213-5 - Empresário (Individual),Fonte 2,93.76-1-72,"(0, 1]","(4000, 5000]",0.0,0.0,,0.0,,,,,,1.0
6961219789928,CE,FORTALEZA,Segmento 17,206-2 - Sociedade Empresária Limitada,Fonte 2,14.56-9-63,"(200000, 1000000]","(8000, 25000]",0.0,0.0,,1.0,"(20, 30]",$,,,,0.0
6961966100921,CE,FORTALEZA,Segmento 19,206-2 - Sociedade Empresária Limitada,Fonte 5,76.28-4-11,"(50000, 70000]","(900, 1150]",0.0,0.0,,0.0,,,,,,1.0
6963116188156,CE,REDENCAO,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.35-1-92,"(3000, 5000]","(1600, 2000]",0.0,0.0,,1.0,,,,,,1.0
6963277795974,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(10000, 15000]","(4000, 5000]",1.0,0.0,Comércio,0.0,,,,,,0.0
6969911173534,CE,AQUIRAZ,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(30000, 50000]","(5000, 8000]",0.0,0.0,,0.0,,,,,,0.0
6972825142089,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(2000, 3000]","(1300, 1600]",0.0,0.0,,1.0,,$$$$,,,,1.0
6977879560099,CE,CAUCAIA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,77.12-9-14,"(3000, 5000]","(4000, 5000]",0.0,0.0,,0.0,,,,,,0.0
6978745323921,CE,AQUIRAZ,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.77-2-39,"(3000, 5000]","(600, 750]",0.0,0.0,,1.0,,,,,,0.0
6982078714915,CE,FORTALEZA,Segmento 10,213-5 - Empresário (Individual),Fonte 1,12.74-7-32,"(200, 1000]","(0, 25]",0.0,0.0,,0.0,,,,,,1.0
6983523126794,CE,FORTALEZA,Segmento 17,206-2 - Sociedade Empresária Limitada,Fonte 1,77.28-1-51,"(20000, 30000]","(750, 900]",0.0,0.0,,0.0,,,,,,0.0
6984336180053,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(10000, 15000]","(900, 1150]",0.0,0.0,,1.0,,,,,,0.0
6984630735098,CE,FORTALEZA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,77.12-9-14,"(3000, 5000]","(2000, 2400]",0.0,0.0,,0.0,,,,,,0.0
6984965632687,CE,FORTALEZA,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 1,77.12-9-14,"(8000, 10000]","(900, 1150]",0.0,0.0,,1.0,,,,,,0.0
