id_cliente,orders_count,valor_min,valor_max,valor_mean,valor_median,valor_std,delay_mean,delay_max,pct_orders_delayed,last_order_date,first_order_date,recency_days,orders_per_month
1377618222119,2,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2023-07-29,2023-07-20,1026,6.666666666666667
1381909985950,3,750.0,5001000.0,1667500.0,750.0,2886895.6835154262,-15.333333333333334,3.0,0.6666666666666666,2023-03-31,2023-03-03,1146,3.2142857142857144
1382961467596,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,7.166666666666667,12.5,1.0,2024-05-02,2023-07-27,748,0.3214285714285714
1383960807328,3,250.0,250.0,250.0,250.0,0.0,3.3333333333333335,8.0,1.0,2024-02-01,2023-10-18,839,0.8490566037735849
1385668227872,3,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2023-06-05,2023-04-28,1080,2.368421052631579
1396141555035,3,250.0,250.0,250.0,250.0,0.0,-14.666666666666666,5.0,0.6666666666666666,2023-03-15,2023-03-02,1162,6.9230769230769225
1399254044253,3,250.0,750.0,583.3333333333334,750.0,288.67513459481285,2.3333333333333335,5.0,1.0,2023-01-17,2022-09-05,1219,0.6716417910447761
1412446008189,3,250.0,1500.0,833.3333333333334,750.0,629.1528696058958,-50.0,-50.0,0.0,2022-05-31,2022-05-19,1450,7.5
1439384628215,3,250.0,250.0,250.0,250.0,0.0,2.3333333333333335,3.0,1.0,2023-03-15,2023-02-03,1162,2.25
1448193619455,3,250.0,250.0,250.0,250.0,0.0,-15.333333333333334,3.0,0.6666666666666666,2024-01-26,2023-05-18,845,0.3557312252964427
1472300490880,3,250.0,1500.0,666.6666666666666,250.0,721.6878364870322,1.0,1.0,1.0,2023-04-04,2023-03-31,1142,22.5
1495537461525,3,750.0,750.0,750.0,750.0,0.0,-16.0,1.0,0.6666666666666666,2023-08-11,2023-07-24,1013,5.0
1504585028147,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,1.6666666666666667,3.0,1.0,2023-08-14,2023-06-05,1010,1.2857142857142856
1514121240652,3,250.0,250.0,250.0,250.0,0.0,-33.0,1.0,0.3333333333333333,2023-08-02,2023-07-18,1022,6.0
1535557101731,3,250.0,250.0,250.0,250.0,0.0,1.6666666666666667,3.0,1.0,2023-10-30,2023-10-20,933,9.0
1547006260289,3,250.0,750.0,416.6666666666667,250.0,288.6751345948129,-50.0,-50.0,0.0,2024-09-19,2024-09-04,608,6.0
1548530015244,3,250.0,250.0,250.0,250.0,0.0,-16.0,1.0,0.6666666666666666,2023-11-21,2023-10-27,911,3.5999999999999996
1557614346727,3,250.0,1500.0,833.3333333333334,750.0,629.1528696058958,-33.0,1.0,0.3333333333333333,2023-11-29,2023-10-23,903,2.4324324324324325
1571843727821,3,750.0,1500.0,1000.0,750.0,433.0127018922193,1.6666666666666667,3.0,1.0,2023-04-10,2023-03-07,1136,2.6470588235294117
1572864112951,3,250.0,250.0,250.0,250.0,0.0,-14.666666666666666,3.0,0.6666666666666666,2023-04-20,2023-04-11,1126,10.0
1587324266661,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,-16.0,1.0,0.6666666666666666,2024-04-11,2023-08-17,769,0.37815126050420167
1604881175692,3,250.0,250.0,250.0,250.0,0.0,-15.333333333333334,3.0,0.6666666666666666,2023-12-13,2023-11-23,889,4.5
1608315548358,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,-50.0,-50.0,0.0,2023-09-01,2023-08-28,992,22.5
